team,pts,loc,week,opp,opts,win,lose
ne,7,away,12,nyg,10,0,1
ne,0,home,13,lac,6,0,1
ne,21,away,14,pit,18,1,0
ne,17,home,15,kc,27,0,1
ne,26,away,16,den,23,1,0
ne,21,away,17,buf,27,0,1
ne,3,home,18,nyj,17,0,1
no,16,home,1,ten,15,1,0
no,20,away,2,car,17,1,0
no,17,away,3,gb,18,0,1
no,9,home,4,tb,26,0,1
no,34,away,5,ne,0,1,0
no,13,away,6,hou,20,0,1
no,24,home,7,jax,31,0,1
no,38,away,8,ind,27,1,0
no,24,home,9,chi,17,1,0
no,19,away,10,min,27,0,1
no,15,away,12,atl,24,0,1
no,28,home,13,det,33,0,1
no,28,home,14,car,6,1,0
no,24,home,15,nyg,6,1,0
no,22,away,16,lar,30,0,1
no,23,away,17,tb,13,1,0
no,48,home,18,atl,17,1,0























































































































































































